card1,card2,board,score
A of Hearts,9 of Spades,8 of Spades | J of Hearts | 5 of Clubs | A of Clubs | 3 of Clubs,3434
7 of Diamonds,6 of Hearts,K of Hearts | 8 of Diamonds | 5 of Hearts | 4 of Diamonds | 3 of Clubs,1606
J of Diamonds,J of Clubs,7 of Diamonds | 5 of Clubs | 6 of Spades | 3 of Clubs | 7 of Spades,2870
A of Clubs,A of Diamonds,2 of Spades | 5 of Clubs | 9 of Spades | 5 of Hearts | 2 of Diamonds,2560
8 of Spades,10 of Spades,A of Diamonds | 4 of Hearts | 10 of Diamonds | 6 of Clubs | 2 of Spades,4241
4 of Clubs,3 of Spades,9 of Clubs | J of Spades | 5 of Spades | 7 of Spades | 10 of Hearts,7223
8 of Diamonds,10 of Spades,7 of Clubs | 6 of Clubs | K of Spades | K of Hearts | 9 of Diamonds,1604
J of Hearts,5 of Clubs,4 of Spades | K of Diamonds | 4 of Hearts | 3 of Diamonds | 7 of Spades,5593
9 of Spades,3 of Hearts,Q of Diamonds | 4 of Clubs | 7 of Hearts | 2 of Hearts | 3 of Spades,5862
Q of Spades,3 of Hearts,9 of Diamonds | J of Clubs | 2 of Clubs | 3 of Clubs | 4 of Diamonds,5847
9 of Hearts,5 of Spades,8 of Spades | J of Hearts | 4 of Spades | A of Diamonds | 2 of Clubs,6500
3 of Diamonds,10 of Diamonds,3 of Spades | 5 of Diamonds | A of Hearts | 2 of Diamonds | K of Hearts,5748
2 of Diamonds,4 of Diamonds,3 of Hearts | 5 of Spades | 2 of Spades | 7 of Spades | J of Diamonds,6121
8 of Diamonds,2 of Hearts,J of Clubs | A of Spades | 4 of Hearts | 9 of Hearts | 6 of Spades,6499
Q of Diamonds,5 of Clubs,K of Clubs | 2 of Diamonds | A of Hearts | Q of Spades | 3 of Diamonds,3772
5 of Hearts,9 of Clubs,7 of Spades | 10 of Hearts | 4 of Diamonds | 7 of Diamonds | 6 of Spades,5031
6 of Clubs,3 of Spades,6 of Diamonds | 8 of Hearts | 9 of Clubs | A of Clubs | J of Clubs,5106
9 of Clubs,2 of Clubs,10 of Diamonds | J of Spades | K of Hearts | 6 of Clubs | 4 of Hearts,6800
7 of Diamonds,5 of Clubs,5 of Hearts | Q of Clubs | 2 of Hearts | 9 of Clubs | 9 of Hearts,3053
9 of Spades,6 of Hearts,7 of Spades | 2 of Spades | 6 of Diamonds | 10 of Clubs | 8 of Clubs,1604
4 of Diamonds,7 of Diamonds,4 of Spades | Q of Clubs | 6 of Hearts | Q of Hearts | 2 of Hearts,2804
J of Diamonds,4 of Clubs,3 of Hearts | 4 of Diamonds | 8 of Clubs | Q of Hearts | 8 of Hearts,3130
J of Hearts,3 of Diamonds,6 of Spades | 6 of Diamonds | 8 of Spades | Q of Diamonds | A of Diamonds,5096
7 of Diamonds,5 of Hearts,6 of Clubs | A of Spades | Q of Spades | 4 of Hearts | J of Spades,6371
4 of Spades,A of Spades,6 of Spades | Q of Clubs | 10 of Clubs | 8 of Clubs | A of Clubs,3391
4 of Hearts,6 of Hearts,3 of Spades | 7 of Hearts | 9 of Hearts | 9 of Spades | 7 of Spades,3035
4 of Clubs,6 of Clubs,6 of Spades | 6 of Hearts | 8 of Clubs | A of Hearts | Q of Spades,2139
3 of Diamonds,K of Diamonds,Q of Hearts | 10 of Spades | 4 of Diamonds | 8 of Clubs | 5 of Diamonds,6723
2 of Spades,3 of Diamonds,8 of Spades | 3 of Clubs | A of Spades | 8 of Hearts | Q of Hearts,3139
6 of Hearts,3 of Hearts,Q of Hearts | K of Hearts | 10 of Hearts | 4 of Hearts | K of Clubs,870
6 of Spades,3 of Clubs,10 of Hearts | 2 of Clubs | 6 of Clubs | J of Clubs | 8 of Diamonds,5223
6 of Diamonds,9 of Spades,4 of Clubs | 9 of Hearts | A of Spades | 4 of Spades | 4 of Diamonds,292
Q of Spades,A of Hearts,3 of Spades | 3 of Hearts | 8 of Diamonds | 9 of Clubs | 4 of Spades,5758
K of Diamonds,2 of Clubs,J of Diamonds | 6 of Diamonds | K of Clubs | 10 of Diamonds | 3 of Hearts,3649
7 of Clubs,5 of Spades,A of Hearts | 4 of Spades | A of Diamonds | A of Clubs | J of Clubs,1634
Q of Spades,A of Spades,K of Spades | 9 of Hearts | 7 of Hearts | 2 of Clubs | 5 of Clubs,6203
9 of Spades,5 of Clubs,K of Spades | 10 of Diamonds | 4 of Spades | 6 of Clubs | 7 of Hearts,6888
Q of Diamonds,9 of Clubs,6 of Spades | Q of Spades | A of Clubs | 8 of Hearts | 7 of Hearts,3793
4 of Spades,7 of Diamonds,5 of Clubs | 6 of Spades | 2 of Clubs | J of Diamonds | 8 of Clubs,1606
3 of Clubs,4 of Hearts,3 of Diamonds | 5 of Clubs | 5 of Diamonds | 8 of Clubs | 10 of Hearts,3275
5 of Clubs,8 of Spades,6 of Clubs | 4 of Clubs | Q of Spades | 3 of Diamonds | 10 of Clubs,7117
3 of Clubs,10 of Spades,4 of Clubs | 5 of Clubs | Q of Diamonds | 7 of Clubs | 10 of Diamonds,4328
7 of Diamonds,3 of Diamonds,Q of Spades | 5 of Diamonds | J of Hearts | 9 of Hearts | J of Clubs,4095
A of Spades,5 of Hearts,3 of Spades | 3 of Hearts | 9 of Clubs | 4 of Spades | 2 of Diamonds,1609
10 of Hearts,K of Clubs,9 of Hearts | Q of Diamonds | 8 of Clubs | J of Clubs | 10 of Diamonds,1601
K of Spades,8 of Diamonds,A of Hearts | 8 of Clubs | Q of Hearts | Q of Clubs | 5 of Hearts,2754
Q of Clubs,2 of Spades,4 of Clubs | 2 of Hearts | A of Spades | J of Hearts | 10 of Spades,5976
9 of Clubs,9 of Spades,3 of Diamonds | 7 of Hearts | 10 of Diamonds | 3 of Spades | 6 of Hearts,3077
A of Hearts,2 of Spades,2 of Hearts | 4 of Spades | 7 of Clubs | Q of Clubs | 10 of Clubs,5977
4 of Diamonds,8 of Clubs,6 of Spades | 4 of Spades | J of Diamonds | 4 of Hearts | Q of Clubs,2291
3 of Spades,8 of Hearts,Q of Diamonds | 2 of Clubs | 2 of Diamonds | 8 of Spades | 7 of Spades,3152
8 of Clubs,K of Clubs,7 of Diamonds | 3 of Clubs | A of Clubs | Q of Diamonds | 9 of Clubs,435
2 of Hearts,6 of Hearts,9 of Clubs | 5 of Clubs | 5 of Spades | Q of Hearts | K of Hearts,5363
Q of Clubs,9 of Clubs,J of Diamonds | K of Spades | Q of Diamonds | 7 of Clubs | K of Diamonds,2601
Q of Spades,J of Spades,8 of Hearts | 10 of Spades | J of Clubs | 5 of Hearts | 7 of Spades,4087
Q of Clubs,9 of Clubs,J of Spades | A of Clubs | 4 of Spades | 10 of Hearts | 10 of Clubs,4216
10 of Spades,3 of Diamonds,Q of Spades | Q of Hearts | 4 of Diamonds | 8 of Diamonds | 7 of Spades,3909
10 of Spades,K of Diamonds,4 of Hearts | 10 of Hearts | K of Clubs | 3 of Spades | J of Diamonds,2624
4 of Hearts,9 of Spades,9 of Diamonds | 7 of Spades | J of Hearts | J of Spades | 2 of Hearts,2847
4 of Diamonds,9 of Diamonds,Q of Hearts | 10 of Spades | 3 of Clubs | 6 of Diamonds | 4 of Hearts,5634
9 of Spades,J of Spades,Q of Diamonds | A of Diamonds | 4 of Hearts | Q of Hearts | K of Clubs,3766
6 of Clubs,8 of Hearts,9 of Diamonds | 4 of Hearts | 8 of Diamonds | 5 of Diamonds | 8 of Clubs,2052
7 of Diamonds,3 of Diamonds,6 of Diamonds | 4 of Hearts | Q of Diamonds | 3 of Spades | 2 of Diamonds,1344
J of Hearts,7 of Hearts,Q of Diamonds | 7 of Spades | 10 of Spades | 8 of Clubs | 3 of Hearts,4966
K of Spades,8 of Spades,2 of Clubs | Q of Clubs | K of Hearts | Q of Diamonds | 8 of Clubs,2604
K of Clubs,Q of Hearts,5 of Diamonds | Q of Clubs | 5 of Hearts | Q of Spades | J of Hearts,199
6 of Clubs,J of Diamonds,4 of Diamonds | 4 of Spades | 6 of Spades | 2 of Clubs | Q of Diamonds,3229
8 of Hearts,10 of Hearts,Q of Spades | 3 of Hearts | 7 of Diamonds | 10 of Clubs | 4 of Spades,4321
7 of Clubs,4 of Spades,5 of Spades | 5 of Diamonds | 7 of Spades | K of Hearts | 3 of Hearts,3173
6 of Clubs,A of Spades,Q of Spades | 3 of Hearts | 2 of Diamonds | 10 of Hearts | A of Diamonds,3393
3 of Clubs,Q of Spades,9 of Clubs | 3 of Diamonds | J of Clubs | Q of Hearts | 5 of Clubs,2811
J of Spades,A of Clubs,2 of Spades | 2 of Diamonds | 5 of Hearts | 10 of Hearts | 10 of Clubs,3007
K of Diamonds,3 of Spades,2 of Spades | 4 of Clubs | 8 of Diamonds | 7 of Clubs | 4 of Hearts,5611
4 of Diamonds,10 of Spades,K of Clubs | 2 of Clubs | 8 of Clubs | J of Clubs | 4 of Clubs,997
Q of Hearts,5 of Clubs,Q of Diamonds | A of Spades | A of Hearts | J of Clubs | 9 of Spades,2480
